13950
AIRLINE	FLIGHT_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	SCHEDULED_ARRIVAL	DISTANCE
AS	98	ANC	SEA	5	430	1448
AA	2336	LAX	PBI	10	750	2330
AA	258	LAX	MIA	20	805	2342
US	840	SFO	CLT	20	806	2296
AS	135	SEA	ANC	25	320	1448
NK	612	LAS	MSP	25	526	1299
DL	806	SFO	MSP	25	602	1589
DL	2336	DEN	ATL	30	523	1199
AA	1112	SFO	DFW	30	545	1464
DL	1173	LAS	ATL	30	711	1747
US	2013	LAX	CLT	30	803	2125
DL	1434	LAX	MSP	35	609	1535
AA	1674	LAS	MIA	35	803	2174
DL	2440	SEA	MSP	40	549	1399
DL	2324	SLC	ATL	40	615	1590
AS	108	ANC	SEA	45	509	1448
DL	1560	ANC	SEA	45	515	1448
UA	1197	SFO	IAH	48	626	1635
AS	122	ANC	PDX	50	525	1542
DL	1670	PDX	MSP	50	603	1426
NK	520	LAS	MCI	55	537	1139
AA	371	SEA	MIA	100	938	2724
NK	214	LAS	DFW	103	530	1055
DL	1450	LAS	MSP	105	608	1299
AA	115	LAX	MIA	105	851	2342
NK	597	MSP	FLL	115	542	1487
AS	130	FAI	SEA	115	548	1533
UA	1545	LAX	IAH	115	618	1379
AA	2392	DEN	MIA	120	707	1709
US	413	LAS	CLT	120	825	1916
NK	168	PHX	ORD	125	549	1440
AA	2211	PHX	MIA	127	726	1972
AS	136	ANC	SEA	135	600	1448
DL	95	SLC	ATL	140	715	1590
NK	298	LAS	IAH	144	634	1222
HA	17	LAS	HNL	145	555	2762
US	617	ANC	PHX	152	915	2552
UA	1528	SJU	EWR	154	509	1608
B6	304	SJU	JFK	155	450	1598
NK	451	PBG	FLL	155	523	1334
AS	134	ANC	SEA	155	633	1448
NK	972	PHX	DFW	159	502	868
AA	2459	PHX	DFW	200	500	868
NK	647	IAG	FLL	200	504	1176
AS	144	ANC	PDX	200	630	1542
B6	1990	SJU	EWR	206	512	1608
AS	114	ANC	SEA	220	640	1448
US	699	PHX	CLT	220	804	1773
B6	668	PSE	MCO	255	500	1179
UA	1162	BQN	EWR	259	559	1585
B6	1030	BQN	MCO	307	500	1129
B6	262	SJU	BOS	330	635	1674
B6	2134	SJU	MCO	400	605	1189
B6	730	BQN	MCO	419	613	1129
B6	768	PSE	MCO	424	630	1179
B6	2276	SJU	BDL	438	739	1666
HA	102	HNL	ITO	500	549	216
AS	695	GEG	SEA	500	610	224
OO	5467	ONT	SFO	500	629	363
US	602	ORD	PHX	500	748	1440
HA	108	HNL	KOA	502	544	163
HA	206	HNL	OGG	505	541	100
AS	730	ANC	SEA	505	930	1448
AA	1323	MCO	MIA	510	613	192
OO	7404	HIB	MSP	510	618	174
OO	7419	ABR	MSP	510	619	257
OO	5254	MAF	IAH	510	637	429
NK	103	BOS	MYR	510	730	738
UA	1500	ORD	IAH	510	805	925
EV	4354	MKE	IAH	515	813	984
AA	2454	BOS	MIA	515	843	1258
AA	1057	DFW	MIA	515	856	1121
US	480	SEA	PHX	515	900	1107
OO	5484	BOI	SFO	520	612	522
OO	7370	BJI	MSP	520	620	199
EV	4685	BRO	IAH	520	634	308
EV	5583	VPS	ATL	520	726	250
DL	2099	BNA	DTW	520	803	456
AA	89	IAH	MIA	520	841	964
US	425	PDX	PHX	520	850	1009
HA	103	HNL	LIH	523	600	102
MQ	2859	SGF	DFW	525	700	364
EV	5187	BNA	ATL	525	730	214
EV	5764	SBN	ORD	530	525	84
OO	5460	RDD	SFO	530	700	199
F9	1279	PHL	MCO	530	810	861
UA	1201	PHL	IAH	530	820	1325
AA	328	DEN	DFW	530	835	641
UA	1221	PDX	DEN	530	852	991
UA	1607	SEA	DEN	530	907	1024
OO	6391	EUG	DEN	530	913	996
NK	409	ORD	FLL	530	938	1182
UA	1532	SFO	DEN	531	857	967
UA	1167	ORD	DEN	533	720	888
EV	4557	CRP	IAH	535	636	201
OO	6512	FAT	LAX	535	650	209
B6	2807	PWM	JFK	535	700	273
B6	2001	BUF	JFK	535	703	301
EV	5498	ORD	DTW	535	800	235
UA	1012	IAD	IAH	535	802	1190
EV	5241	PIA	DTW	535	803	346
B6	2023	JFK	SJU	535	1020	1598
OO	4986	AUS	LAX	538	710	1242
UA	1577	SMF	DEN	538	900	909
B6	727	BOS	BWI	540	721	369
EV	3268	ATL	IAD	540	725	534
EV	4160	JAX	EWR	540	757	820
DL	2079	BOS	DTW	540	803	632
DL	941	MCI	ATL	540	842	692
B6	1012	ORD	BOS	540	856	867
OO	6285	MFR	DEN	540	921	964
OO	5184	SLC	IAH	540	953	1195
DL	824	PHX	DTW	540	1123	1671
OO	6358	IDA	DEN	541	725	458
